mem: 93824994647198, val: 0
mem: 93824994647197, val: 0
mem: 93824994647196, val: 0
mem: 93824994647195, val: 0
mem: 93824994647194, val: 0
mem: 93824994647193, val: 0
mem: 93824994647192, val: 0
mem: 93824994647191, val: 0
mem: 93824994647190, val: 0
mem: 93824994647189, val: 0
mem: 93824994647188, val: 0
mem: 93824994647187, val: 0
mem: 93824994647186, val: 0
mem: 93824994647185, val: 0
mem: 93824994647184, val: 0
mem: 93824994647183, val: 0
mem: 93824994647182, val: 0
mem: 93824994647181, val: 0
mem: 93824994647180, val: 0
mem: 93824994647179, val: 0
mem: 93824994647178, val: 0
mem: 93824994647177, val: 0
mem: 93824994647176, val: 0
mem: 93824994647175, val: 0
mem: 93824994647174, val: 0
mem: 93824994647173, val: 0
mem: 93824994647172, val: 0
mem: 93824994647171, val: 0
mem: 93824994647170, val: 0
mem: 93824994647169, val: 0
mem: 93824994647168, val: 0
mem: 93824994647167, val: 0
mem: 93824994647166, val: 0
mem: 93824994647165, val: 0
mem: 93824994647164, val: 0
mem: 93824994647163, val: 0
mem: 93824994647162, val: 0
mem: 93824994647161, val: 0
mem: 93824994647160, val: 0
mem: 93824994647159, val: 0
mem: 93824994647158, val: 0
mem: 93824994647157, val: 0
mem: 93824994647156, val: 0
mem: 93824994647155, val: 0
mem: 93824994647154, val: 0
mem: 93824994647153, val: 0
mem: 93824994647152, val: 0
mem: 93824994647151, val: 0
mem: 93824994647150, val: 0
mem: 93824994647149, val: 0
mem: 93824994647148, val: 0
mem: 93824994647147, val: 0
mem: 93824994647146, val: 0
mem: 93824994647145, val: 0
mem: 93824994647144, val: 0
mem: 93824994647143, val: 0
mem: 93824994647142, val: 0
mem: 93824994647141, val: 0
mem: 93824994647140, val: 0
mem: 93824994647139, val: 0
mem: 93824994647138, val: 0
mem: 93824994647137, val: 0
mem: 93824994647136, val: 0
mem: 93824994647135, val: 0
mem: 93824994647134, val: 0
mem: 93824994647133, val: 0
mem: 93824994647132, val: 0
mem: 93824994647131, val: 0
mem: 93824994647130, val: 0
mem: 93824994647129, val: 0
mem: 93824994647128, val: 0
mem: 93824994647127, val: 0
mem: 93824994647126, val: 0
mem: 93824994647125, val: 0
mem: 93824994647124, val: 0
mem: 93824994647123, val: 0
mem: 93824994647122, val: 0
mem: 93824994647121, val: 0
mem: 93824994647120, val: 0
mem: 93824994647119, val: 0
mem: 93824994647118, val: 0
mem: 93824994647117, val: 0
mem: 93824994647116, val: 0
mem: 93824994647115, val: 0
mem: 93824994647114, val: 0
mem: 93824994647113, val: 0
mem: 93824994647112, val: 0
mem: 93824994647111, val: 0
mem: 93824994647110, val: 0
mem: 93824994647109, val: 0
mem: 93824994647108, val: 0
mem: 93824994647107, val: 0
mem: 93824994647106, val: 0
mem: 93824994647105, val: 0
mem: 93824994647104, val: 0
mem: 93824994647103, val: 0
mem: 93824994647102, val: 0
